name,artist,id,danceability,energy,loudness,speechiness,acousticness,tempo,liveness,valence
Used 2,Lil Wayne,68lOQPb5tX8U2cQRuas0L2,0.678,0.666,-6.949,0.487,0.337,87.634,0.115,0.523
Lord Pretty Flacko Jodye 2 (LPFJ2),A$AP Rocky,1j6kDJttn6wbVyMaM42Nxm,0.489,0.718,-5.989,0.11,0.0122,207.986,0.0546,0.0568
Back To Back,Drake,5lFDtgWsjRJu8fPOAyJIAK,0.893,0.48,-3.728,0.356,0.00855,86.976,0.116,0.382
Baby,Quality Control,2nKYHpmwjLaEOXS3o7QMiz,0.97,0.463,-7.259,0.366,0.0957,108.003,0.151,0.46
Babushka Boi,A$AP Rocky,643PW82aBMUa1FiWi5VQY7,0.897,0.743,-5.446,0.222,0.304,134.979,0.137,0.905
"F**kin' Problems (feat. Drake, 2 Chainz & Kendrick Lamar)",A$AP Rocky,4X5f3vT8MRuXF68pfjNte5,0.852,0.693,-6.87,0.274,0.024,95.967,0.11,0.66
Walker Texas Ranger,DaBaby,0eBOVXdnrVQ0rITgKXBAA7,0.873,0.682,-5.869,0.377,0.025,157.943,0.0685,0.799
Yes Indeed,Lil Baby,6vN77lE9LK6HP2DewaN6HZ,0.964,0.346,-9.309,0.53,0.035,119.958,0.108,0.562
Started From the Bottom,Drake,5DI9jxTHrEiFAhStG7VA8E,0.794,0.522,-7.829,0.159,0.0328,86.318,0.156,0.567
Jumpman,Drake,27GmP9AWRs744SzKcpJsTZ,0.852,0.553,-7.286,0.187,0.0559,142.079,0.332,0.656
I'm Upset,Drake,3qN5qMTKyEEmiTZD38BNTT,0.899,0.586,-7.866,0.344,0.279,150.001,0.0836,0.492
Plain Jane,A$AP Ferg,4dVpf9jZjcORqGTLUaeYj9,0.797,0.844,-5.482,0.275,0.0651,170.142,0.087,0.52
"Bitch, Don’t Kill My Vibe",Kendrick Lamar,4Pwjz3DfvfQWV0rO2V8jyh,0.587,0.698,-8.948,0.0943,0.0152,133.954,0.442,0.0985
Backseat Freestyle,Kendrick Lamar,6fAyRZ0GHuuvSOEIOwi58N,0.546,0.651,-7.601,0.3,0.000739,77.878,0.235,0.646
The Art of Peer Pressure,Kendrick Lamar,2PieESXphabz5AkALFS08X,0.555,0.611,-9.216,0.356,0.286,94.939,0.273,0.411
Money Trees,Kendrick Lamar,2HbKqm4o0w5wEeEFXm2sD4,0.716,0.531,-7.355,0.122,0.0703,71.994,0.224,0.344
Poetic Justice,Kendrick Lamar,1zCi4cVFqe6ja16MeGZKRN,0.779,0.572,-9.985,0.378,0.157,135.956,0.246,0.647
good kid,Kendrick Lamar,3903Tbix9PdoculpJLikHf,0.451,0.831,-8.641,0.307,0.0623,176.162,0.185,0.41
m.A.A.d city,Kendrick Lamar,439TlnnznSiBbQbgXiBqAd,0.487,0.729,-6.815,0.271,0.0538,91.048,0.44,0.217
Swimming Pools (Drank) - Extended Version,Kendrick Lamar,3DFjTEueCBYqg7YE05eUJP,0.716,0.485,-7.745,0.404,0.123,74.132,0.604,0.26
Ballin' (with Roddy Ricch),Mustard,3QzAOrNlsabgbMwlZt7TAY,0.809,0.545,-6.678,0.0735,0.392,97.008,0.151,0.244
